"SC","名称","市場","種別","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","出来高","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限"
"1301","極洋","東証PR","水産・農林","20220826","3730","-30","-0.8","3760","3760","3760","3720","9500","35464","40762","3060","4460"
"1332","日本水産","東証PR","水産・農林","20220826","576","-2","-0.35","578","581","581","575","617300","356224","179960","478","678"
"1333","マルハニチロ","東証PR","水産・農林","20220826","2527","7","0.28","2520","2521","2543","2521","179700","455306","133064","2020","3020"
"1375","雪国まいたけ","東証PR","水産・農林","20220826","1041","21","2.06","1020","1025","1043","1022","72500","75133","41547","720","1320"
"1376","カネコ種苗","東証ST","水産・農林","20220826","1625","3","0.18","1622","1620","1630","1609","5800","9401","19131","1222","2022"
"1377","サカタのタネ","東証PR","水産・農林","20220826","5030","-20","-0.4","5050","5070","5090","5000","79900","403670","238476","4050","6050"
"1379","ホクト","東証PR","水産・農林","20220826","1931","-8","-0.41","1939","1940","1944","1931","32400","62794","64416","1539","2339"
"1380","秋川牧園","東証ST","水産・農林","20220826","1066","5","0.47","1061","1074","1074","1066","500","536","4455","761","1361"
"1381","アクシーズ","東証ST","水産・農林","20220826","2996","6","0.2","2990","2999","3000","2990","1200","3594","16830","2490","3490"
"1382","ホーブ","東証ST","水産・農林","20220826","3325","501","17.74","2824","3325","3325","2827","1181300","3748209","2534","2324","3325"
"1383","ベルグアース","東証ST","水産・農林","20220826","2740","-8","-0.29","2748","2740","2740","2740","100","274","3965","2248","3250"
"1384","ホクリヨウ","東証ST","水産・農林","20220826","618","3","0.49","615","612","618","612","12200","7480","5228","515","715"
"1400","ルーデン・ホールディングス","東証GR","建設","20220826","127","2","1.6","125","125","131","125","118800","15192","1652","75","175"
"1401","エムビーエス","東証GR","建設","20220826","515","-1","-0.19","516","516","518","513","2000","1031","3982","416","616"
"1407","ウエストホールディングス","東証ST","建設","20220826","4480","140","3.23","4340","4370","4500","4370","229600","1023795","206203","3640","5040"
"1414","ショーボンドホールディングス","東証PR","建設","20220826","6140","-40","-0.65","6180","6240","6320","6110","188200","1166586","348415","5180","7180"
